speaker,content
警察1,納得のいく説明無しに指揮権を渡す事は出来ん。この事件は警察管轄だ。
久保田,説明する責任はない。意地を張らずに我が軍に指揮権を譲りたまえ。
警察2,そちらこそ。
荒巻,詰まらん事で揉めていて構わん状況か？
警察一同,あ・・・
久保田,荒巻・・・
荒巻,問題は中の客の方だろう。
警察1,はっ・・・現在拘束されていると思われる客は外務大臣、そして大臣の秘書官、大臣の後援会長と北米産業振興会からの来客が2名。芸者ロボットが大臣達を拘束してから17分が経過した所です。
警察2,自力で脱出してきた女将の話ではその後2名の犠牲者が出たかもしれないとの事ですが、現在料亭内の状況がどうなっているかは確認出来ておりません。
荒巻,犯行声明や要求は？
警察2,今の所ありません。
荒巻,通信封鎖は？
久保田,内でやってる。
荒巻,報道管制は？
警察2,コード14を実行して9分。長くは持ちません。
荒巻,本件は今より公安9課が処理する。そのまま待機しろ。
警察,はっ！
荒巻,久保田。
荒巻,軍が介入したい理由は？
久保田,内の関係者が中にいる。それ以上今は言えん。
荒巻,分かった。事情は後で聴く。儂に任せろ。少佐
草薙,まだよ。
荒巻,軍が介入したがっている。背中に用心しろ。
草薙,ご親切にどうも。バトー。
バトー,まだ移動中。さっき狙撃隊の通信聞いたら盗聴ノイズが入ってたのはそれか。
草薙,トグサ、イシカワ。
イシカワ,少佐、回線が多すぎる。特定に2時間はかかりそうだ。
草薙,トグサ、中庭に出て突入に備えろ。
トグサ,了解。
草薙,サイトー。
サイトー,映像カーテンは中和したが、木が多く狙撃可能範囲は狭い。
草薙,パズ、ボーマ。
パズ,いつでも。
草薙,ロボット芸者を操作している奴が近くにいる筈だ。トランスは撃つな。敵が証拠を消す前にウイルスを送り込む。
バトー,少佐、ロボット芸者が待遇の改善を要求してきたら？
トグサ,あんたは・・・
草薙,全員そのまま。スタンバイOK。
荒巻,よし、行け！
草薙,GO！
男,う・・・ああぁ・・・は・・・
草薙,パズ、ボーマ、探査ウイルスを追跡しろ。バトーは援護を。
バトー,ああ、いい響きだ。
草薙,ぼやっとするなトグサ。課長、現場を制圧。人質1名が緊急医療必要。重度の外傷有。もう1名は頭部の損傷から死亡を確認。犯人はバトー達が追跡中。
荒巻,よし、大臣以下全員を外に誘導しろ。用心してだ。正面玄関にテント通路とワゴン4台を用意した。警戒態勢B6で移動しろ。
草薙,了解。
トグサ,歩けますか？大臣。
外務大臣,ああ、助かったよ。有難う。
パズ,少佐、標的はサイボーグ。記録と照合中。今の所該当者無し。
草薙,何を待っていたのか聞き出す迄殺すな。
バトー,ボーマ、もうじき合流する。
パズ,車の前に飛び出すなよ。
バトー,子供か？俺は！タチコマ、付いて来てるか！？
バトー,遅えぞタチコマ！
バトー,観念したか？
男,うぅ・・・！
バトー,ああ！？
パズ,ふう・・・
バトー,やばいかも・・・
荒巻,入れ。
荒巻,話を聞こうか。
久保田,ああ・・・実は脳にダメージを受けた大臣の秘書官、彼女は私の部下で大臣の身辺を内偵させていた。
荒巻,外務大臣を？
久保田,うむ。最近彼の周辺で一ノ瀬レポートに興味を示す動きがあってね。
荒巻,非常時における外交及び軍事的戦術シナリオを含む法だな。
久保田,うむ、もちろん軍が開示要求を受ければそれを拒めない。しかし大臣直々の指示と言う訳でもなかったし、今迄は何とか遣り過ごして来た。内偵は言わば安全確認の為の通常業務だった。
荒巻,では、何故秘書官が襲撃を？
久保田,うむ、何か掴みかけた為に消されかけた可能性はある。
荒巻,大臣の身辺状況は？
久保田,一通り洗った段階では白。脅迫されている様子も口座に不振な動きもない。
荒巻,お前らしくもない。
久保田,ううむ、今回は抜かったよ・・・
荒巻,お前が良ければこの件内で調べてみようと思うが、どうだ？
久保田,助かる。だがお前の経歴に傷が付く様な事はするな。最後は俺が被る。
草薙,で？
荒巻,大臣の身辺をもう一度洗い直せ。それと料亭内で何が起きていたのかを徹底的に調べろ。儂は一ノ瀬レポートと軍の利害関係を洗い直す。
草薙,あら、彼友人じゃなかったの？
荒巻,そうだ。だから儂が調べる。
バトー,自分で記憶を焼き消すとは見上げた根性だ。脳に障害が残っちまうかもしれないのに。お陰で俺は笑いもんだぜ。
草薙,経費の無駄使いね。任務の度に慌てて射撃練習する位なら、義体化する事をお勧めするけど？
トグサ,それって、俺もサイボーグ化しろって事・・・
草薙,公私混同を命令で出す程野暮じゃないわ。今日の射撃にしたって上出来だと思ってるわよ。でも貫通弾が人質に当たりそうだと思ったのなら、その場の判断で応用を利かせなさい。その9ミリ、腰に下げてたんでしょ？もう・・・何の為にあんたを本庁から引き抜いたと思ってるのかしら？落ち込む暇があったら自分の特技で貢献しようと思わない？あたし達が突入する迄の10数分間、何が起きていたのか徹底的に洗うわよ。
老人,お孫さんは元気かね？
荒巻,どう思う？
老人,せっかちだなお前さんは。ふむ・・・一ノ瀬レポートは軍の予算に影響しない。君が興味を持つ様な物でもない。
荒巻,政、官、どちらの意向だ？
老人,あれで損をする軍人はあれを知る立場にない。知らない物は探さない。君の言葉だ。
荒巻,相変わらずだな。
老人,近くに海老の旨い店が出来た。寄って行かんか？
荒巻,また今度な。
イシカワ,少佐がお待ちです。
荒巻,うむ。
荒巻,何が出た？
草薙,事件直後の柳の間の映像。それと料亭内に設置してあるカメラからの気になる映像よ。
荒巻,うむ。
草薙,その男、北米ニュートロン社製の脊椎ユニットを搭載していた筈なのに、潰れた筐体のパーツを集めても元の筐体に組み上がらない事が判明。次は外務大臣と芸者のトイレ前の映像ね。
荒巻,芸者と？
草薙,ええ、彼酔うと時々芸者と体を取り替えて遊んでいたみたい・・・それは死亡した北米産業の役員よ。
荒巻,彼もその遊びに？
草薙,そこ迄は・・・トイレ内の映像はなかったわ。で、心配になった秘書官が登場。そこね、秘書官が襲われたの。
荒巻,うむ。
草薙,死亡した北米産業の役員が最初に襲われ、その後に秘書官が襲われたと証言しているもう一人の北米役員の話とは食い違うわ。後援会長はかなり酔っていて詳細を覚えていないけど、初めに聞いたのは秘書官の悲鳴だった気がすると警察では答えている。
荒巻,彼女は何を見たのだ？
トグサ（彼女は何を見たんだ？）,NA
トグサ,歩けますか？大臣
外務大臣,ああ、助かったよ。有難う。
トグサ,あ・・・！少佐！外務大臣の奴、芸者と体を入れ替える趣味があったって証言ありましたよね！？
草薙,ええ、それで？
トグサ,大臣は脳殻を積み替えられたんじゃないでしょうか。敵の狙いが一ノ瀬レポートだとしたら、必要なのは外務大臣としての容姿、外見だったのでは？
草薙,秘書官は大臣が脳殻を積み替えられる所を見てしまった・・・
草薙,イシカワ！
荒巻,久保田、荒巻だ。外務大臣の事だが
久保田,たった今外務大臣が北米産業振興会の連中と一緒に来ている。一ノ瀬レポートを持っていった。コピー不可の暗号プリントを渡したんで再デジタライズで若干の時間稼ぎは出来るが・・・
荒巻,大臣は今何処だ？
久保田,空港に向かっている。北米産業振興会主催のパーティで挨拶する為アメリカに飛ぶらしい。
草薙,バトー、装備L2で緊急起動。トグサとサイトーを拾ってそのまま空港に向かう！
官僚,大臣、申し訳ありません。専用機が天候不順で15分程遅れているそうです。
外務大臣,そうか。
草薙,先に出るわ。
外務大臣,ん・・・んん！？
官僚,大臣、お待たせしました。専用機が到着したそうです。
荒巻,お待ちください大臣。
外務大臣,ん？君か。夕べは助かったよ。一体何の用かね？
荒巻,これをお届けに参りました。
外務大臣,何かね・・・？病気療養につき公務を辞退いたします旨・・・私が？後任人事とはどういう事だ！？
荒巻,お読みになった現在、貴方はもう大臣ではありません。
外務大臣,なんだと！？何の権限で！？
荒巻,総理並びに与党役員会の承認事項です。何でしたらご確認を。議員、貴方には昨夜の事件でスパイ容疑、並びに諸外国への政治的亡命の嫌疑もかけられております。ご同行願えますかな？
外務大臣,貴様！何様のつもりだ・・・！？あ・・・
トグサ,やめろ！守るべき大臣はそいつじゃない。
トグサ,脳殻を確保しました。
荒巻,うむ。お前が何者なのか、時間をかけてゆっくり聞く事になるだろう。連行しろ。
久保田,彼女は電脳技術とマイクロマシンで脳のサポート手術を受ける様だ。言語野に多少障害が残るそうだが、日常生活に支障は無いそうだよ。
荒巻,そうか・・・
久保田,今回の事件、内で処理出来なかったのは残念だが、礼を言うよ。
荒巻,事件直後、お前が踏ん張らなかったら警察の突入、ロボットを射殺、で一件落着。9課の介入もなく今頃メディアは外務大臣の亡命スパイ疑惑で持ちきりだったろう。
久保田,しかしよくあんな短時間で政治家の説得材料や関係書類を用意出来たな。
荒巻,備えあればなんとやらさ。
久保田,天候不順など無かったのに、大臣専用機は遅れてくれるしな。
荒巻,それが公安9課だよ。
9課鑑識1,今の所、各機体毎の個体差は認められんな。
バトー,つまりお前には個性がねえって事だよ。
タチコマ,個性？
9課鑑識1,どの機体をチョイスしても、同じスペックで扱えると言って欲しいね。
バトー,ふん、だがそれじゃあ面白みがねえぜ。
バトー,お前にいいもんをやろう。天然オイルだ。
トグサ,いいのか？そんなもん入れて。変な学習するかもしれないぜ？
バトー,いいのいいの。これは機械に対する愛なの、愛。
タチコマ,おおー！？いつもの合成オイルと違いますねえ。
バトー,おうよ。
タチコマ,あっ、少佐！
バトー,げっ！
草薙,タチコマ6機をフル装備で出動準備。
バトー,何かあったのか？
草薙,36分前、剣菱重工の演習ドームで新型多脚戦車が暴走を始めた。搭乗者は1週間前に死亡したこの戦車の設計者、加護タケシの認識コードを使用していると言う点以外詳細は不明。犯行声明や要求等は今の所無いが、播磨研究学園都市内で起こった状況を考慮、内務省はテロの可能性を示唆し、我々公安9課にこれを止めろとの出動要請が出された。暴走は剣菱重工が行った最終調整の演習中に起きたそうよ。暴走の原因がハードおよびソフトのセキュリティ面の欠陥であったとなれば、全ての責任を剣菱に押し付けたいと言うのが、正式採用を検討中だった陸自の本音ね。
バトー,相変わらずだな。
草薙,テロリストからの声明があった場合のみ彼等はこの件に手を貸すそうよ。
トグサ,ひでえ話だ。面子で国防は務まらねえっての。
バトー,それにしてもスペックの良く分からねえ戦車相手にタチコマで？
草薙,この子達も捨てたもんじゃないわよ。
タチコマ,さっすがです少佐！
バトー,まじ？
9課オペレーター,少佐。戦車は進路を変えて播磨研究学園都市を出て行く模様です。
草薙,チャンスだな。学園都市から伸びるテクノラインは山道を切り開いた専用道路。周りは農村ばかりだ。よし、戦車がテクノライン上にいる内に叩く。パズは電脳化、義体化等に反対しているテロ組織から犯行声明が出ていないかを確認。ボーマとサイトーは先行して播磨テクノライン上で迎撃準備。最も被害の出にくいポイントで戦車を狙撃、停止させる。トグサは剣菱で課長と合流、戦車暴走の原因を究明。私とバトーはタチコマ6機で暴走戦車を誘導する。
バトー,それが君のお仕事。
トグサ,戦車に吹っ飛ばされて泣くなあ！
タチコマ,播磨研究学園都市って僕達のニューロチップが作られたとこでしょ？
タチコマ,生まれ故郷に凱旋！
タチコマ,お喋りしてると少佐に怒られるよ。
草薙,我々は攻殻機動隊だ。状況の説明を。
隊長,はっ。通信によればもう直姿を現すとの事です。
隊員A,隊長！
隊員達,おお・・・！
草薙,今の所、仲間の戦車を破壊しただけで砲撃はしてこない様だ。道を空けて後は我々に任せろ。
タチコマ,わあ！
草薙,見惚れて奴の射界に入り込むなよ！行くぞ！
